column,feature_importance
suburb_san cristobal,0.0
suburb_san vicente,0.0
suburb_villa riachuelo,0.0
suburb_velez sarsfield,0.0
suburb_versalles,0.0
suburb_villa crespo,0.0
suburb_villa general mitre,0.0
suburb_villa lugano,0.0
suburb_villa luro,0.0
suburb_villa ortuzar,0.0
suburb_villa parque,0.0
suburb_villa pueyrredon,0.0
suburb_villa real,0.0
published_suburb_berazategui,0.0
